SITE_ID,DEPTHMAX,2007 catchment data.PCT_BARREN_BSN,2007 catchment data.PCT_DEVELOPED_BSN,2007 catchment data.PCT_FOREST_BSN,2007 catchment data.PCT_SHRUBLAND_BSN,2007 catchment data.PCT_GRASS_BSN,catchment_Forestall,2007 catchment data.PCT_AGRIC_BSN,2007 catchment data.PCT_WETLAND_BSN,2007 buffer data.PCT_DEVELOPED_BUFR,2007 buffer data.PCT_BARREN_BUFR,2007 buffer data.PCT_FOREST_BUFR,2007 buffer data.PCT_SHRUBLAND_BUFR,2007 buffer data.PCT_GRASS_BUFR,buffer_forest_all,2007 buffer data.PCT_AGRIC_BUFR,2007 buffer data.PCT_WETLAND_BUFR,NUT_REG,Residence time,Catchment Area (km2),Lake Area (Km2),Relative Catchment Size,LON_DD,LAT_DD,ELEV_PT,Table1.CL_PPM
NLA06608-0859,19,0.1,24.2,18.7,1.5,1.3,21.5,43.5,7.4,17.3,0,11.8,0.8,0.6,13.2,7.7,13.5,VII,0.83,901.0578605,4.893771604,184.1233988,-88.21979209,42.78877715,235.53,127.153
NLA06608-0860,9.1,0,7.4,3.9,0,5.5,9.4,79.9,2.4,4.8,0,32.1,0,7.3,39.4,1,2.4,VI,0.06,8067.741708,12.41453394,649.8626325,-91.58457902,41.77555566,207.23,18.36
NLA06608-0862,7.3,0,7.9,43.4,0,0,43.4,0,18.5,8.2,0,27.8,0,0,27.8,0,30,VIII,2.76,0.617305237,0.174604075,3.535457217,-90.20943735,46.13959313,482.22,3.027
NLA06608-0863,6.2,0,8.9,55.9,0.1,2.3,58.3,28.9,0.1,15.3,0.1,26.4,0,0.9,27.3,1.6,0.8,XI,0.19,181.0731489,6.040491796,29.97655738,-81.23795266,40.55157389,281.89,19.079
NLA06608-0864,11.2,0,2.2,0,0,21.2,21.2,6,2.9,0,0,0,0,0,0,0,0,IV,4.03,7.149994251,3.036463188,2.354711323,-102.7554334,38.29933705,1181.28,140.09
NLA06608-0865,2.9,0,84.5,0,0,1.3,1.3,0,4.5,68.3,0,0.5,0,0,0.5,0,13.1,XII,0.3,0.779746074,0.097157605,8.025579408,-81.90969367,28.0262635,40.58,10.901
NLA06608-0868,4.3,0,1.2,71.6,0.1,0.6,72.3,13.3,2,0,0,67.1,0,0.8,67.9,2,4.9,IX,0.43,2.772505847,0.347656266,7.974847912,-87.85835615,37.61578723,138.33,3.455
NLA06608-0869,1.6,0,6.3,86.5,1,0,87.5,0.4,4.1,8.3,0,53.8,0,0,53.8,0,16.6,VIII,0.06,16.85978841,0.291065806,57.92431836,-75.02535883,41.41393411,361.42,6.604
NLA06608-0870,42.4,0,0,77.2,21.3,0.1,98.6,0,0,0,0.9,58.5,2.9,0,61.4,0,0,II,0.09,45.68537124,0.636914944,71.72915579,-122.0463775,44.31668637,795.16,0.71
NLA06608-0871,1.2,0,5.6,1.5,0,0.1,1.6,76.7,2.5,6.1,0,4.8,0,0.1,4.9,23.3,5.5,VI,0.86,7.568391488,0.919480939,8.231156479,-96.09372175,45.39184932,327.56,20.473
NLA06608-0872,2.7,0,7.4,5.2,0,51.4,56.6,32.3,1.4,0.6,0,10.3,0,21.6,31.9,3.2,5.5,V,0.32,96.47213232,0.887350165,108.7193491,-97.05592896,37.70523851,385.74,7.095
NLA06608-0873,5.4,0,0.7,58.9,38.4,0.4,97.7,0,0,0,0,41,17.4,2.8,61.2,0,0,II,0.88,34.9862701,0.493827628,70.84712988,-111.2309008,34.78754469,2066,0.998
NLA06608-0874,11.8,0,6.4,8.2,0.4,6.5,15.1,71.8,5.4,13.7,0,18.3,0,5.2,23.5,10.2,25.7,VII,0.28,17.21454855,0.230273152,74.75708045,-86.02363273,43.49984691,232.11,15.315
NLA06608-0875,6.3,0,5.6,16.6,0.6,0,17.2,20.7,35.3,9.1,0,6,1,0,7,5.3,27,VII,2.24,2.173553491,0.457886331,4.746928099,-84.93952274,42.42600499,272.91,19.025
NLA06608-0877,3.7,0.3,4.5,9.3,11.2,2.6,23.1,34.4,12.7,10.2,0,11.4,12.1,1.9,25.4,22.9,13.7,III,7.06,2.571334851,0.550064843,4.674603156,-114.7186101,33.39339434,69.11,175.484
NLA06608-0878,15,0,4,19.1,0.6,4.9,24.6,47.8,13.3,5.7,0,13.6,0.3,2.3,16.2,15.8,2.7,VII,2.79,81.20098748,2.805232362,28.94626077,-95.49202478,46.41279009,399.86,6.977
